,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Georgetown,MY,80.6,scattered clouds,5.41,100.34,Cititel Penang
12,Impfondo,CG,78.98,overcast clouds,1.64,18.07,Préfecture de la Likouala
15,Gillette,US,81.0,few clouds,44.29,-105.5,National 9 Inn - Gillette WY
19,Westport,US,88.0,clear sky,41.14,-73.36,The Westport Inn
23,Vaini,TO,73.4,overcast clouds,-21.2,-175.2,Keleti Beach Resort
30,Cefalu,IT,73.99,clear sky,38.04,14.02,Hotel La Giara
35,Tianpeng,CN,81.0,overcast clouds,30.99,103.94,Shuangliu Love Home Business Hotel
38,Hasaki,JP,73.4,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
40,Tebingtinggi,ID,78.8,scattered clouds,3.33,99.16,Hotel Malibou
43,Makakilo City,US,84.2,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
46,Gushikawa,JP,82.4,few clouds,26.35,127.87,Kirari Guest House
54,Fuerte Olimpo,PY,73.44,overcast clouds,-21.04,-57.87,Hotel Fuerte Olimpo
57,Hilo,US,80.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
60,Padang,ID,76.55,overcast clouds,-0.95,100.35,Mercure Padang
62,Bengkulu,ID,74.86,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
63,Rapar,IN,84.09,scattered clouds,23.57,70.63,Dharamshi Bapa’s Home
64,Victoria,HK,86.0,overcast clouds,22.29,114.16,Mini Hotel Central
67,Mitchell,US,84.2,scattered clouds,43.71,-98.03,Kelly Inn & Suites
69,Souillac,MU,72.0,clear sky,-20.52,57.52,Bils' Villa
71,Atuona,PF,79.77,clear sky,-9.8,-139.03,Villa Enata
72,Kerema,PG,76.32,scattered clouds,-7.96,145.78,Elore Lodge
73,Nabire,ID,75.52,scattered clouds,-3.37,135.48,Hotel Nusantara Nabire
77,Bethel,US,89.01,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
80,Arraial Do Cabo,BR,73.4,broken clouds,-22.97,-42.03,Pousada Porto Praia
83,Salalah,OM,82.4,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
90,Quatre Cocos,MU,72.0,broken clouds,-20.21,57.76,Veranda Palmar Beach Hotel
93,Coruripe,BR,77.41,scattered clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
98,Caravelas,BR,74.53,clear sky,-17.71,-39.25,Pousada dos Navegantes
101,Gamba,GA,73.74,overcast clouds,-2.65,10.0,
103,Mahebourg,MU,72.0,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
104,Sladkovo,RU,71.2,scattered clouds,55.53,70.34,Uyutnaya
105,Yellowknife,CA,70.0,shower rain,62.46,-114.35,The Explorer Hotel
106,Biak,ID,75.96,broken clouds,-0.91,122.88,Kost Ariz
107,Canutama,BR,88.48,overcast clouds,-6.53,-64.38,Hotel Jhennifer
116,Bambous Virieux,MU,72.0,broken clouds,-20.34,57.76,Casa Tia Villa
117,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
120,Rio De Janeiro,BR,73.4,broken clouds,-22.9,-43.21,Windsor Guanabara Hotel
123,Hithadhoo,MV,84.69,overcast clouds,-0.6,73.08,Scoop Guest House
124,San Quintin,MX,72.88,clear sky,30.48,-115.95,Old Mill Hotel
126,Ponta Do Sol,PT,73.0,clear sky,32.67,-17.1,Hotel do Campo
129,Guerrero Negro,MX,82.58,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
132,Kontagora,NG,78.04,broken clouds,10.4,5.47,City Gate Inn
135,Avarua,CK,75.2,broken clouds,-21.21,-159.78,Paradise Inn
140,Vila Franca Do Campo,PT,71.6,scattered clouds,37.72,-25.43,Pestana Bahia Praia
142,Jamestown,US,90.0,scattered clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
145,Faanui,PF,76.69,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
146,Hambantota,LK,80.42,overcast clouds,6.12,81.12,Bungalow 63
147,Maceio,BR,75.2,light rain,-9.67,-35.74,Mercure Maceio Pajucara Hotel
152,Manado,ID,75.2,scattered clouds,1.49,124.85,Aryaduta Hotel
156,Barra Do Bugres,BR,84.31,clear sky,-15.07,-57.18,Hotel 4am Petrofurt
157,Praia Da Vitoria,PT,71.6,broken clouds,38.73,-27.07,Hotel Branco I
159,Cabo San Lucas,MX,87.8,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
161,Martapura,ID,75.2,overcast clouds,-3.42,114.85,Montana Hotel Syariah
162,Russell,US,89.6,few clouds,32.35,-85.2,Macs
163,Marawi,PH,73.99,scattered clouds,8.0,124.29,Derogongan Residence
164,Port Moresby,PG,75.2,scattered clouds,-9.44,147.18,Lamana Hotel
168,Ribeira Grande,PT,71.6,broken clouds,38.52,-28.7,Quinta da Meia Eira
171,Banyuwangi,ID,73.18,overcast clouds,-8.23,114.36,Hotel Blambangan
175,Faya,SA,78.8,few clouds,18.39,42.45,مقبرة ال مجمل
180,Sawakin,SD,89.19,clear sky,19.11,37.33,فندق الدويم
181,Aitape,PG,76.96,clear sky,-3.14,142.35,
183,Payyannur,IN,75.2,mist,12.1,75.2,"K K Residency, Payyanur | The Business Class Hotel"
184,Bubaque,GW,82.67,overcast clouds,11.28,-15.83,Casa Dora
188,Bull Savanna,JM,85.03,overcast clouds,17.89,-77.59,Big Red's
193,Saint Anthony,US,78.8,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
196,Lorengau,PG,82.42,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
198,Ovalle,CL,71.37,broken clouds,-30.6,-71.2,Hotel Altos de Tuqui
199,La Union,PE,81.57,clear sky,-5.4,-80.75,Los Portales
200,Kashi,CN,73.4,clear sky,39.45,75.98,帕米尔青年旅舍
205,Sakaiminato,JP,75.2,light rain,35.55,133.23,味処・民宿 まつや
208,Itoman,JP,82.4,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
209,Krasnovishersk,RU,71.22,clear sky,60.41,57.08,Inn Serebryaniy rodnik
220,Grand Gaube,MU,72.0,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
222,Nueva Loja,EC,83.53,scattered clouds,0.08,-76.88,Limoncocha Great Hotel
225,Shache,CN,71.78,overcast clouds,38.42,77.24,Delong Hotel
227,Half Moon Bay,US,82.99,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
228,Kahului,US,86.0,scattered clouds,20.89,-156.47,Maui Seaside Hotel
229,Iskateley,RU,75.36,clear sky,67.68,53.15,Hostel Agat
231,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
239,Marshall,US,89.01,scattered clouds,34.38,-86.33,Lake Guntersville Bed and Breakfast
241,Ukiah,US,90.0,clear sky,39.15,-123.21,Hampton Inn Ukiah
245,Saint-Orens-De-Gameville,FR,86.0,scattered clouds,43.55,1.53,Appart'City Confort Toulouse Diagora Labège - Appart Hôtel
247,Surin,TH,82.0,overcast clouds,14.88,103.49,One Fu Hotel
249,Meulaboh,ID,76.15,overcast clouds,4.14,96.13,Kost Pria
251,Am Timan,TD,73.99,overcast clouds,11.03,20.28,
254,San Patricio,MX,89.6,broken clouds,19.22,-104.7,Hotel Cabo Blanco
255,Abu Samrah,SY,73.71,clear sky,35.3,37.18,
258,Cedar City,US,89.6,clear sky,37.68,-113.06,Hampton Inn Cedar City
259,Puerto Colombia,CO,87.8,scattered clouds,10.99,-74.95,Hotel El Emigrante
260,Emporia,US,84.2,scattered clouds,38.4,-96.18,Super 8 by Wyndham Emporia
261,Lakatoro,VU,75.2,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
264,Bhadrak,IN,82.65,overcast clouds,21.06,86.51,Hotel bluevine
265,Chicama,PE,71.94,clear sky,-7.84,-79.15,Hospedaje Punta Cana PERU
266,Portland,US,71.01,broken clouds,45.52,-122.68,Portland Marriott City Center
269,Itaquitinga,BR,82.4,broken clouds,-7.67,-35.1,Eluzair
270,Alpena,US,89.6,light rain,45.06,-83.43,Big Bear Lodge
271,Hede,CN,70.95,overcast clouds,33.77,120.25,Vienna 3 Best Hotel Sheyang Jiefang Rd
280,Thinadhoo,MV,84.65,broken clouds,0.53,72.93,
281,Garowe,SO,85.86,overcast clouds,8.41,48.48,Curubo Hotel
282,Kinshasa,CD,78.8,clear sky,-4.32,15.32,Kabinda Center
284,Mumford,GH,75.56,overcast clouds,5.26,-0.76,Spanish Villa
289,Sao Joao Da Barra,BR,75.2,clear sky,-21.64,-41.05,Pousada Porto De Canoas
291,Puerto Escondido,MX,86.0,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
293,Ambulu,ID,72.09,broken clouds,-8.35,113.61,Hotel Ambulu Jember
295,Vila Velha,BR,78.01,clear sky,-20.33,-40.29,Hotel Vitória Palace
297,Ardakan,IR,89.6,clear sky,32.31,54.02,Ardakan Hotel
300,Mahibadhoo,MV,83.93,overcast clouds,3.78,72.97,Omadhoo Inn
301,Semnan,IR,84.6,broken clouds,35.57,53.4,Semnan Tourist Hotel
303,Javanrud,IR,70.7,clear sky,34.8,46.52,هتل چیا
305,Vierzon,FR,82.4,clear sky,47.21,2.06,Arche Hôtel Vierzon
309,Tiznit,MA,72.18,clear sky,29.58,-9.5,
316,Belmonte,BR,75.2,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
317,Suez,EG,79.25,clear sky,29.97,32.53,Green House
318,Bathsheba,BB,86.0,few clouds,13.22,-59.52,Atlantis Hotel
319,Richards Bay,ZA,72.19,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
320,Portoferraio,IT,75.99,clear sky,42.81,10.31,Hotel Villa Ombrosa
323,Lasalgaon,IN,75.81,overcast clouds,20.15,74.23,Dhanraj Hotel
327,Taga,RO,71.6,few clouds,46.95,24.05,
328,Alofi,NU,75.2,broken clouds,-19.06,-169.92,Taloa Heights
334,Pucallpa,PE,86.0,scattered clouds,-8.38,-74.55,Manish Hotel Ecológico
335,Banjarmasin,ID,75.2,overcast clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
336,Merauke,ID,77.34,overcast clouds,-8.47,140.33,
337,Soyo,AO,74.07,clear sky,-6.13,12.37,Hotel Mpampa
338,Kulhudhuffushi,MV,83.23,overcast clouds,6.62,73.07,Haajy Guest House 1
339,Dakar,SN,82.4,broken clouds,14.69,-17.44,Novotel Dakar
340,Cayenne,GF,77.0,thunderstorm,4.93,-52.33,Hôtel Le Dronmi
345,Ambilobe,MG,70.18,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
348,Labuhan,ID,75.24,broken clouds,-6.88,112.21,bador sepret
350,Monrovia,LR,77.0,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
351,Acapulco,MX,87.8,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
352,Gizo,SB,82.04,few clouds,-8.1,156.84,Imagination Island
360,Naryan-Mar,RU,75.49,clear sky,67.67,53.09,Hostel Agat
361,Tuy Hoa,VN,76.86,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
367,Sao Filipe,CV,76.8,scattered clouds,14.9,-24.5,Tortuga B&B
368,Nouadhibou,MR,80.6,sand,20.93,-17.03,El Medina
371,Isla Mujeres,MX,89.6,scattered clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
373,Muana,BR,88.84,broken clouds,-1.53,-49.22,Pousada Bella do Marajó
375,Kuryk,KZ,84.99,few clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
377,Marsa Matruh,EG,77.0,clear sky,31.35,27.25,Beau Site
379,Kashan,IR,88.66,scattered clouds,33.98,51.44,Manouchehri Traditional House And Hotel
381,Los Llanos De Aridane,ES,81.0,broken clouds,28.66,-17.92,Valle Aridane
386,Lata,PT,73.99,clear sky,40.16,-8.33,Casa Maquia
390,Ust-Ishim,RU,70.65,few clouds,57.69,71.17,"Velichko T.p., Gostinitsa"
394,Passo De Camaragibe,BR,73.4,light rain,-9.24,-35.49,Pousada Divino Milagre
396,Saint Joseph,US,84.99,few clouds,39.77,-94.85,Whiskey Mansion Inn
401,Pointe Michel,DM,87.8,light intensity shower rain,15.25,-61.38,Castle Comfort Lodge Dive Dominica
407,Malibu,US,84.99,few clouds,34.01,-118.81,Malibu Country Inn
409,Marabba,SD,82.06,overcast clouds,12.35,32.18,
410,Odweyne,SO,78.35,overcast clouds,9.41,45.06,Eng Hiirey House
411,Mahina,PF,80.6,few clouds,-17.51,-149.49,Guest Beach Bungalow Tahiti
416,Kumluca,TR,84.34,clear sky,36.37,30.29,TurkuazKöy
417,Bontang,ID,75.88,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
421,Gayny,RU,72.36,clear sky,60.31,54.32,
422,Coahuayana,MX,82.4,overcast clouds,18.73,-103.68,Hotel Los Arcos
424,Fort Morgan,US,87.8,clear sky,40.25,-103.8,Hampton Inn Fort Morgan
426,Constantine,DZ,80.6,clear sky,36.37,6.61,Grand Hotel Cirta
427,Jieshi,CN,83.01,overcast clouds,22.81,115.83,Yuehai Hotel
432,Avera,US,89.6,scattered clouds,33.19,-82.53,
434,Katsuura,JP,75.0,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
435,Cap Malheureux,MU,72.0,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
440,Abnub,EG,89.6,clear sky,27.27,31.15,Romany Adly Gad
441,Jinxiang,CN,82.71,overcast clouds,22.86,115.7,Haiyun Holiday Hotel
444,Kalmunai,LK,79.38,broken clouds,7.42,81.82,VS Villa
446,Nusaybin,TR,87.53,clear sky,37.08,41.22,Aydinlar Hotel
447,Sibolga,ID,77.74,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
449,Pamanukan,ID,75.7,overcast clouds,-6.28,107.81,Paris Day Hotel Pamanukan
452,Zhanaozen,KZ,84.42,clear sky,43.3,52.8,K.korabay 28A
453,Halifax,CA,81.0,broken clouds,44.65,-63.57,Hotel Halifax
455,Las Palmas,ES,75.2,few clouds,28.42,-14.01,Casa el Relajo
457,Nhulunbuy,AU,77.0,overcast clouds,-12.23,136.77,East Arnhem Real Estate
461,Campos,BR,75.2,clear sky,-21.75,-41.3,Palace Hotel
465,Kloulklubed,PW,77.0,overcast clouds,7.04,134.26,Storyboard Beach Resort
475,La Carlota,PH,78.1,overcast clouds,10.42,122.92,Casa de Mae
477,Kathmandu,NP,71.6,moderate rain,27.72,85.32,Hotel Shanker Kathmandu
479,Lompoc,US,71.01,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
482,Port-Gentil,GA,77.0,overcast clouds,-0.72,8.78,Fengshui Residence
484,Vanimo,PG,77.07,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
487,Ouargaye,BF,84.9,scattered clouds,11.5,0.06,Auberge Belle Etoile
491,Islamkot,PK,86.2,few clouds,24.7,70.18,Ghazi Guest House
494,Sorong,ID,77.67,scattered clouds,-0.88,131.25,The Waigo Hotel
497,Xuddur,SO,76.77,broken clouds,4.12,43.89,Banjanay Hotel
498,Nishihara,JP,82.4,broken clouds,26.18,127.76,Minshuku Agaihama
499,Miri,MY,75.2,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
500,Sandpoint,US,75.0,clear sky,48.28,-116.55,La Quinta Inn by Wyndham Sandpoint
501,Kimbe,PG,74.84,broken clouds,-5.55,150.14,Kimbe Bay Hotel
502,Todos Santos,MX,82.99,clear sky,23.45,-110.22,Hotel California Todos Santos
507,Bamako,ML,86.0,thunderstorm,12.65,-8.0,Hôtel l’Amitié Bamako
508,Itacoatiara,BR,82.4,broken clouds,-3.14,-58.44,BBB Rooms Centro Itacoatiara AM
512,Kalianget,ID,78.19,broken clouds,-7.05,113.93,Pesanggrahan Garam
517,Beni Suef,EG,82.98,clear sky,29.07,31.1,Tolip Inn Beni Suef
519,Vila,PT,75.99,clear sky,42.03,-8.16,Hotel Castrum Villae
524,Teguise,ES,73.4,scattered clouds,29.06,-13.56,B&B La Casona de Nazaret
526,Acajutla,SV,89.6,few clouds,13.59,-89.83,Stop.
531,Ugoofaaru,MV,83.44,overcast clouds,5.67,73.0,Ungoofaaru Inn
538,High Rock,BS,87.8,broken clouds,26.62,-78.28,Ocean Pearl Bonefishing Resort
541,Pontes E Lacerda,BR,79.61,few clouds,-15.23,-59.34,Hotel Bressan
545,Itanhaem,BR,70.0,overcast clouds,-24.18,-46.79,Prainha Residência Artística
546,Karaton,ID,78.8,haze,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
547,Rosarito,MX,80.01,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
